Original Size,Compressed Size,Difference,File Path
11952,11952,0,/AndroidManifest.xml
76,76,0,/play-services-tasks.properties
76,76,0,/play-services-stats.properties
96,96,0,/play-services-cloud-messaging.properties
82,82,0,/play-services-basement.properties
74,74,0,/play-services-base.properties
41394,41394,0,/okhttp3/internal/publicsuffix/publicsuffixes.gz
218,218,0,/okhttp3/internal/publicsuffix/NOTICE
883,883,0,/messaging_event_extension.proto
2381,2381,0,/messaging_event.proto
2395,2395,0,/kotlin/reflect/reflect.kotlin_builtins
3305,3305,0,/kotlin/ranges/ranges.kotlin_builtins
17783,17783,0,/kotlin/kotlin.kotlin_builtins
646,646,0,/kotlin/internal/internal.kotlin_builtins
200,200,0,/kotlin/coroutines/coroutines.kotlin_builtins
3685,3685,0,/kotlin/collections/collections.kotlin_builtins
926,926,0,/kotlin/annotation/annotation.kotlin_builtins
98,98,0,/firebase-measurement-connector.properties
78,78,0,/firebase-iid-interop.properties
72,72,0,/firebase-encoders.properties
84,84,0,/firebase-encoders-proto.properties
82,82,0,/firebase-encoders-json.properties
78,78,0,/firebase-annotations.properties
2982,2982,0,/client_analytics.proto
1738,1738,0,/DebugProbesKt.bin
43192,43192,0,/lib/x86_64/libpl_droidsonroids_gif.so
42532,42532,0,/lib/x86/libpl_droidsonroids_gif.so
42636,42636,0,/lib/armeabi-v7a/libpl_droidsonroids_gif.so
42928,42928,0,/lib/arm64-v8a/libpl_droidsonroids_gif.so
2059676,2059676,0,/classes6.dex
22984,22984,0,/classes5.dex
4988,4988,0,/classes4.dex
2172,2172,0,/classes3.dex
598440,598440,0,/classes2.dex
10397320,10397320,0,/classes.dex
